Project Name,Package Name,Architecture Smell,Cause of the Smell
.,com.matchify.controller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthControllerIntegrationTest]; [AuthControllerTest; AuthController]; [EventControllerTest; EventController]; [MatchControllerIntegrationTest]; [EventControllerIntegrationTest]; [InterestControllerIntegrationTest]; [ChatControllerTest; ChatController]; [InterestController]; [MatchController]; [UserController]. LCC (Lack of Component Cohesion) = 0.77
.,com.matchify.service.implementation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserServiceImplTest; UserServiceImpl]; [AuthServiceImplTest; AuthServiceImpl]; [MatchServiceImplTest; MatchServiceImpl]; [ChatRoomServiceImplTest; ChatRoomServiceImpl]; [EventServiceImplTest; EventServiceImpl]; [ChatMessageServiceImplTest; ChatMessageServiceImpl]; [UserInfoUserDetails]; [InterestServiceImpl]; [UserDetailsServiceImpl]. LCC (Lack of Component Cohesion) = 0.6
.,com.matchify.service.implementation,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.matchify.repository; com.matchify.service.
.,com.matchify.service.implementation,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.matchify.repository; com.matchify.config.
.,com.matchify.dto.response,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FindMatchesResponse]; [FetchInterestResponse]; [UserProfileResponse]; [InterestCategoryResponse]; [FillInterestResponse]; [GetMatchedEventsResponse]; [UserChatStatusResponse]; [CreateEventResponse]; [AuthResponse]; [FetchConnectedUsersResponse]; [SignUpResponse]; [ErrorResponse]; [EventAttendeesResponse]; [GetMyEventsResponse]. LCC (Lack of Component Cohesion) = 1.0
.,com.matchify.dto.request,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserChatStatusRequest]; [EventAttendeesListRequest]; [LoginRequest]; [FillInterestRequest]; [CreateEventRequest]; [GetMatchedEventsRequest]. LCC (Lack of Component Cohesion) = 1.0
.,com.matchify.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserMatchesRepository]; [UserInterestRepository]; [EventRepository]; [EventAttendeesRepository]; [InterestRepository]; [ChatRoomRepository]; [InterestGroupRepository]; [UserRepository]; [ChatMessageRepository]. LCC (Lack of Component Cohesion) = 1.0
.,com.matchify.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.matchify.service.implementation
.,com.matchify.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AWSStorageConfig]; [ModelMapperConfig]; [JwtAuthFilter; JwtConstant; JwtProvider; SecurityConfiguration]; [MatchConstant]; [GeocodingConfig]; [WebSocketConfig]. LCC (Lack of Component Cohesion) = 0.67
.,com.matchify.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.matchify.config; com.matchify.service.implementation; com.matchify.config
.,com.matchify.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InterestCategory]; [ChatRoom]; [UserInterest]; [ChatNotification]; [User; Event; UserMatches; ChatStatusForUser]; [InterestGroup]; [ChatMessage]; [EventAttendees]. LCC (Lack of Component Cohesion) = 0.73
.,com.matchify.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChatRoomService]; [UserService]; [MatchService]; [AuthService]; [ChatMessageService]; [EventService]; [InterestService]. LCC (Lack of Component Cohesion) = 1.0
.,com.matchify.exception,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmailAlreadyInUseException]; [EventNotFoundException]; [ImageTypeNotValidException]; [UserNotFoundException]; [WrongCredentialsException]; [APINotAvailableException]; [GlobalExceptionHandler]; [ImageUploadException]; [InvalidUserArgumentsException]. LCC (Lack of Component Cohesion) = 1.0
